at time x process y started arrive time w running time z remning time y waiting time k
at time 1 process 1 started ---> arrive time 1 running time 12 remning time 12 waiting time 0
at time 13 process 1 finished ---> arrive time 1 running time 12 remning time 0 waiting time 0
at time 13 process 3 started ---> arrive time 12 running time 7 remning time 7 waiting time 1
at time 20 process 3 finished ---> arrive time 12 running time 7 remning time 0 waiting time 0
at time 20 process 5 started ---> arrive time 19 running time 8 remning time 8 waiting time 1
at time 28 process 5 finished ---> arrive time 19 running time 8 remning time 0 waiting time 0
at time 28 process 8 started ---> arrive time 25 running time 3 remning time 3 waiting time 3
at time 31 process 8 finished ---> arrive time 25 running time 3 remning time 0 waiting time 0
at time 31 process 4 started ---> arrive time 17 running time 11 remning time 11 waiting time 14
at time 42 process 4 finished ---> arrive time 17 running time 11 remning time 0 waiting time 0
at time 42 process 7 started ---> arrive time 23 running time 5 remning time 5 waiting time 19
at time 47 process 7 finished ---> arrive time 23 running time 5 remning time 0 waiting time 0
at time 47 process 2 started ---> arrive time 10 running time 4 remning time 4 waiting time 37
at time 51 process 2 finished ---> arrive time 10 running time 4 remning time 0 waiting time 0
at time 51 process 6 started ---> arrive time 22 running time 7 remning time 7 waiting time 29
at time 58 process 6 finished ---> arrive time 22 running time 7 remning time 0 waiting time 0
